code,credits,prerequisites,gen_ed
CSC106H,4,3,B3
CSC101,4,,"B3, B4"
CSC104,4,High school mathematics,B3
CSC106,4,Not open to students with credit in CSC courses at 200-level or above,B3
CSC110,4,C- or better in CSC 106 or approval of instructor,
CSC192,4,permission of instructor,
CSC200,4,credit or concurrent enrollment in MTH 131 or 141,
CSC201,4,,B3
CSC203,3,MTH 243 ) or permission of instructor,
CSC210,4,"CSC106, or CSC201, or CSC211, or previous programming experience through permission of instructor",
CSC211,4,(C- or better in CSC 110) or (B or better in (CSC 106 or CSC 201 or CSC 200) and concurrent enrollment in CSC 110) or ELE 208 or permission of instructor,
CSC212,4,C- or better in CSC 211; and MTH 180 or Computer Engineering major,
CSC220,1,,
CSC222,3,,
CSC271,4,CSC 106,
CSC292,4,permission of instructor,
CSC301,4,CSC 212,
CSC305,4,CSC 212,D1
CSC310,4,"CSC201 or CSC211 or equivalent, or permission of instructor",
CSC311,4,CSC 110 and 211,
CSC320,4,"CSC110 or LTI110(DSP110), or must be in a degree-granting college",
CSC340,4,"(MTH 180 or MTH 141) and CSC 212, and student must be admitted to a degree-granting college",
CSC372,4,CSC271/COM271 and junior standing or permission of instructor,
CSC392,4,permission of instructor,
CSC399,4,CSC 211 or 372,"B2, D1"
CSC402,4,"CSC 301, and student must be admitted to a degree-granting college",
CSC406,4,"CSC 212 and either MTH 215 or MTH 362, and student must be admitted to a degree-granting college",
CSC411,4,CSC 212 and student must be admitted to a degree-granting college,
CSC412,4,CSC 212 and student must be admitted to a degree-granting college,
CSC415,4,"CSC 411 or ELE 305, and student must be admitted to a degree-granting college",
CSC417,3,"((ELE 205 or 208 or CSC 211), and (ELE 436 or MTH 451 or ISE 311 (411))), or permission of instructor",
CSC418,4,ELE 208 or MTH 362 or MTH 451 or ISE 311 (411) or junior or senior standing in computer engineering or computer science or permission of instructor,
CSC436,4,"CSC 212, and student must be admitted to a degree-granting college",
CSC440,4,CSC 212 and (CSC 340 or MTH/CSC 447) and student must be admitted to a degree-granting college,
CSC445,4,CSC 340 or CSC/MTH 447 and student must be admitted to a degree-granting college,
CSC447,3,"junior standing or better in physical or mathematical sciences, or in engineering, or permission of instructor",
CSC450,4,CSC 212 and MTH 215 and 243,
CSC451,3,"Any one of PHL 101, CSC 340, CSC/MTH 447, or MTH 180, or permission of instructor",
CSC461,4,CSC 310 and MTH 215,
CSC462,4,CSC 305,
CSC477,4,Advanced standing in computer science and departmental approval,
CSC491,4,permission of instructor,
CSC492,4,permission of instructor,
CSC493,4,permission of instructor,
CSC499,4,advanced standing in computer science and departmental approval,
CSC501,4,CSC 301,
CSC505,4,CSC 305,
CSC511,4,CSC 411,
CSC512,4,CSC 412,
CSC519,4,ELE 437 or equivalent or CSC 412 or equivalent,
CSC521,4,Permission of instructor,
CSC522,4,"major in a computing, statistical, or biological science or permission of instructor",
CSC525,3,"CSC 212 or ISE 325, ISE 333 (433) or ELE 509, or permission of instructor",
CSC536,4,CSC 436 or permission of instructor,
CSC541,4,CSC 440 or 445,
CSC542,4,CSC 440,
CSC544,4,CSC 440 or 445,
CSC546,4,CSC 440 or by permission of instructor,
CSC547,3,MTH 316,
CSC548,3,MTH 316,
CSC550,4,CSC 440,
CSC561,4,CSC 461 or permission by instructor,
CSC581,3,CSC 481 or permission of instructor,
CSC583,3,MTH 362 or equivalent,
CSC585,4,"MTH 215;  STA 411, or STA 412, or STA 441; or permission of instructor",
CSC120G,4,,"A2, C3"
CSC591,4,permission of instructor,
CSC592,4,permission of instructor,
CSC593,3,Permission of instructor,
CSC599,8,,
CSC699,12,,
