code,credits,prerequisites,gen_ed
AAF150,3,,"A3, C3"
AAF150H,3,3.40 overall GPA or better,"A3, C3"
AAF201,3,,"A3, C3"
AAF202,3,,
AAF206,3,"AAF 150, or sophomore standing, or by permission of the instructor",
AAF230,3,,
AAF235,3,,
AAF239,3,,A2
AAF240,3,,"C3, A2"
AAF247,4,,"A3, C3"
AAF248,4,,"A3, C3"
AAF300,3,"Completion of AAF 201 or AAF 202, or sophomore standing",
AAF309,3,"Sophomore standing, AAF208/MUS208 (C or better), and permission of instructor are required",
AAF352,4,,"A3, C3"
AAF353,3,"AAF 150, or sophomore standing, or by permission of instructor",
AAF355,3,sophomore standing,"A3, C3"
AAF359,3,sophomore standing or permission of instructor,
AAF361,3,,
AAF362,4,,
AAF364,4,,
AAF366,3,HIS 150 or AAF 150 or HIS 142 and sophomore standing or permission of instructor,"C3, B1"
AAF372,3,,
AAF380,3,,
AAF388,3,sophomore standing or permission of instructor,
AAF390,3,permission of director,
AAF399,3,PSY 113 or 103,
AAF408,4,"PSC 113 or 210, and PSC 116 or 211",
AAF408H,4,"PSC 113 or 210, and PSC 116 or 211, and 3.40 or better overall GPA",
AAF410,3,APG 313 or PSC 201 or HIS 388 or permission of instructor,
AAF415,3,,
AAF428,3,one 300-level sociology course or permission of instructor,
AAF466,3,PSC 113 or 210,
AAF466H,3,"PSC 113 or 210, and 3.40 overall GPA",
AAF477,6,,
AAF484,4,,"C3, D1"
AAF498,3,"AAF 150, 201, 202, senior standing, or permission of instructor",
ACC199,3,Open to non-business majors with more than 24 credits or permission of dean's office,
ACC201,3,,
ACC201H,3,Must have a 3.40 overall GPA,
ACC202,3,ACC (BUS) 201 or 201H or permission of instructor,
ACC301,3,ACC (BUS) 201 or 201H or permission of instructor,
ACC302,3,ACC (BUS) 301 with a grade of C or better or permission of instructor,
ACC303,3,ACC (BUS) 202 and junior standing in a degree granting college or permission of instructor,
ACC390,1,Business majors with Sophomore standing,
ACC401,3,"ACC (BUS) 301 or concurrent enrollment in 301, BAI (BUS) 310 or current enrollment in BAI (BUS) 310, and junior standing in a degree granting college or permission of instructor",
ACC402,3,ACC (BUS) 302 or permission of instructor,
ACC402H,3,ACC (BUS) 302 or permission of instructor,
ACC403,3,"ACC (BUS) 302 or concurrent enrollment in 302, and junior sanding in a degree granting college, or permission of instructor",
ACC404,3,"ACC (BUS) 302 or concurrent enrollment in 302, or permission of instructor",
ACC491,3,must be a student in the College of Business with more than 75 credits and permission of instructor,
ACC492,3,must be a student in the College of Business with more than 75 credits and permission of instructor,
ACC493,6,Admission into an internship program and permission of instructor,
AFS102,3,,
AFS105G,3,,A1
AFS106,1,,
AFS132G,3,,A2
AFS132GH,3,3.40 overall GPA,A2
AFS190,3,,A1
AFS201,4,AFS 105G,
AFS202,3,,
AFS215,3,AFS 105G,
AFS270,3,scuba diving physical examination and demonstration of strong swimming skills,
AFS290,3,,
AFS291,1,Sophomore standing; permission of instructor,
AFS300,4,AFS105G and a BIO course or permission of instructor,D1
AFS321,3,AFS 105G and concurrent enrollment in AFS 322,
AFS322,1,AFS 105G and concurrent enrollment in AFS 321,
AFS362,3,AFS 201 and 202,
AFS391,3,,
AFS392,3,,
AFS395,3,Permission of instructor,
AFS396,3,"AFS 270 or equivalent Open Water Scuba Diving certification upon approval of course instructor, and admission into the Undergraduate Marine Technical Certificate Program",
AFS397,1,"Credit or concurrent enrollment in AFS 395, permission of instructor, must pass basic swim evaluation",
AFS399,12,Students must have completed one semester at URI with a GPA above 2.0 and be a current or prospective AFS major or minor; or by permission of instructor,
AFS415,3,AFS 215 and MTH131 or MTH141,
AFS416,1,concurrent registration in AFS 415,
AFS425,3,AFS 105G or permission of instructor,
AFS432,3,AFS 105G,
AFS433,3,scuba certification and permission of instructor,
AFS440,3,permission of instructor,D1
AFS483,3,AFS 202,
AFS486,3,BIO 101 or 110,
AFS488G,3,Junior standing or permission of instructor,"B1, C1"
AFS491,3,,
AFS492,3,,
AFS498,3,Sophomore standing; for majors only; not for major credit in AFS; B or higher in course; permission of instructor,
AME204,4,,"B1, C3"
AMS393G,3,Pre: STA 308 or STA 409 or BAI 210; STA 305 or LTI/DSP 110; and MTH 215,"B3, D1"
AMS450,3,"MTH 215, MTH 451 and CSC 310 or permission of the instructor",
AMS490,4,Permission of instructor,
APG200,3,,"A2, C3"
APG201,3,,"A1, C3"
APG202,3,,"A2, C2"
APG203,3,,A2
APG282G,3,Sophomore or higher standing,"A1, C2"
APG302,3,APG 203 or permission of instructor,
APG303,3,,
APG304,3,APG 202 or permission of instructor,
APG308,3,sophomore standing,
APG308H,3,3.40 overall gpa and sophomore standing,
APG310,3,one anthropology course or permission of instructor,
APG310H,3,"3.40 overall gpa and one anthropology course, or permission of instructor",
APG311,3,,
APG319,3,,
APG325G,3,,"A2, C3"
APG328,3,one APG course or permission of instructor,
APG345,3,,
APG370,3,,
APG377,3,Permission of instructor,
APG392G,3,,"A3, C3"
APG396,6,permission of instructor,
APG399,3,"APG 201, or permission of instructor",
APG401,3,"APG 200 or 203, and junior standing; or permission of instructor",
APG411,3,"APG 201 and 202, or permission of instructor",
APG413,3,APG 203 or MAF 100 or graduate status,
APG414,3,APG 200 or APG 201 or APG 202 or APG 203,
APG415,3,"open only to juniors, seniors, and graduate students",
APG417,3,APG 202 and junior standing; or permission of instructor,
APG427,4,"APG 200, APG 201, APG 202, APG 203 and senior standing, or permission of instructor",D1
APG465,3,"at least 3 credits at the 300-level in anthropology, art history, or history; or permission of the instructor",
APG470,6,permission of instructor,
APG471,3,,
APG475G,3,"300-level coursework in sociology, anthropology, gender and women's studies, or health studies; or permission of the instructor","A2, C2"
APG477,3,,
APG490,3,"at least 3 credits of course work at the 300-level in history, anthropology or art history, or permission of instructor",
ARB497,3,instructor consent,
ART101,3,,A4
ART103,3,,A4
ART105,3,,A4
ART120,3,,A4
ART200,1,"3 of the following courses ART 101, 103, 105, or 207",
ART203,3,,
ART204,3,,
ART207,3,,A4
ART208,3,ART 207,
ART213,3,,
ART214,3,,
ART215,3,,
ART221,3,ART 101 or 207,
ART231,3,ART 101 or 207 or permission of instructor,
ART233,3,ART 101 or permission of chairperson,
ART243,3,ART 103 or permission of instructor,
ART251,3,,A3
ART252,3,,A3
ART284,3,,
ART301,3,permission of chairperson and instructor,
ART303,3,"art major status, or permission of instructor or chairperson",
ART304,3,ART 204,
ART309,3,ART 208 or permission of instructor,
ART312,4,sophomore standing,
ART314,3,ART 213,
ART315,3,ART 214 or Art 213 and 204 or permission of instructor,
ART316,3,"ART 215, or permission of instructor",
ART322,3,ART 221,
ART324,3,ART 207 and 208 and 221 or permission of instructor,
ART332,3,ART 231,
ART334,3,ART 233 or permission of chairperson,
ART344,3,ART 243 or permission of instructor,
ART354,3,,
ART356,3,,
ART359,3,ART 251 or 252 or permission of instructor,
ART361,3,,
ART362,3,,
ART364,3,,
ART365,3,ART 251 or 252 or permission of instructor,
ART366,3,,"C2, D1"
ART374,3,,
ART375,3,,
ART380,3,ART 251 or 252 or permission of instructor,
ART385,3,,
ART387G,3,"12 credits earned at 100 level or above, and one of LAR 201 or LAR 202 or ART 105 or ART 214, or permission of instructor","D1, C1"
ART395,3,Permission of instructor,
ART397,1,"Credit or concurrent enrollment in AFS 395, permission of instructor, must pass basic swim evaluation",
ART404,3,"junior, senior, or graduate standing","A4, D1"
ART405,3,Limited to senior B,
ART465,3,"at least 3 credits at the 300-level in anthropology, art history, or history; or permission of the instructor",
ART470,6,"senior standing, art history major, permission of chairperson",
ART477,6,junior standing in the B,
ART480,3,permission of instructor,
ASL101,3,,"B2, C3"
ASL102,3,ASL 101 or equivalent,"B2, C3"
AST108,4,,A1
AST108H,4,3.4 GPA and new student orientation,A1
AST118,4,,A1
AST118H,4,Must have a 3.4 overall GPA or higher,A1
AST334,3,PHY 112 or 205,
AST483,3,PHY 381 and 382,
AST484,3,PHY 381 and 382,"D1, B3"
AST491,6,,
AST492,6,,
AVS101,3,,A1
AVS102,1,credit or concurrent enrollment in 101,
AVS110,1,AVS 101,
AVS122,3,"First semester freshmen from AVS, BIO, or Marine Biology majors only",
AVS132G,3,,A2
AVS132GH,3,3.40 overall GPA,A2
AVS201,3,AVS 101,
AVS212,3,AVS 101 and 102,
AVS250,2,AVS 101 and AVS 102,
AVS275,4,AVS 101 and 102 or permission of instructor,
AVS291,1,Sophomore standing; permission of instructor,
AVS301,1,junior or senior standing,
AVS304,3,AVS 101 and AVS 102 and either AVS 323 or AVS 324,
AVS323,3,AVS 101,
AVS324,3,AVS 101,
AVS325,3,AVS 101 or permission of instructor,
AVS326,3,AVS 101,
AVS327,3,BIO 101 and 102 and sophomore standing or above,
AVS331,3,"BIO 101 or 110, or CHM 101 or CHM 103",
AVS332,3,AVS 331,
AVS333,1,credit or concurrent enrollment in 331,
AVS343,3,AVS 331,
AVS372,3,"BIO101 or BIO110, sophomore standing, or permission of instructor",
AVS390,3,,
AVS390H,3,Overall GPA of 3.4 or higher,
AVS398,1,AVS 327  and credit or concurrent enrollment in AVS 399,
AVS399,12,Students must have completed one semester at URI with a GPA above 2.0 and be a current or prospective AVS major or minor; cannot be counted for concentration credit in AVS; or by permission of instructor,
AVS404,3,Senior in good standing or permission of instructor,"D1, B4"
AVS412,3,junior standing or above,
AVS420,3,junior standing or above,
AVS427,2,"AVS 327, AVS 343",
AVS440,3,"junior standing, and BIO 101 or 110, and 102 and permission of the instructor",
AVS442,3,Sophomore standing or above and a major in any department in CELS and permission of instructor,
AVS443,3,AVS 343 or concurrent enrollment in AVS 343,D1
AVS462,4,AVS 331 and 333,
AVS463,3,AVS 331,
AVS472,3,"BIO 101 or 110, and AVS 331 or permission of instructor",D1
AVS473,1,concurrent enrollment in AVS 472,
AVS491,3,,
AVS492,3,,
AVS498,3,sophomore standing; for majors only; not for major credit in AVS; B or higher in course; permission of instructor,
BAI109,3,Open to students with a BU code or permission of the instructor,
BAI110,3,open to students with a BU code or permission of the COB dean's office,
BAI111,3,open to students passing a placement test or earning a C- or better in BAI (BUS) 113 or permission of instructor,B3
